QID,URLNO,PNO,REL,EXPL
120,823,3,0,"[plague, inspect the plane, tested everyone, virus]"
141,823,4,0,"[ebola, H1N1, inspect the plane, tested everyone, virus]"
141,823,5,0,"[ malaria, cholera, typhoid fever, meningitis, inspect the plane, tested everyone, breast,  body fluids of an infected human, Fruit bats]"
141,823,6,0,"[ebola, symptoms of illness, not to come to the office]"
141,823,7,0,"[fever, took her temperature, quarantined]"
141,823,8,0,"[daily health checks, quarantined at home]"
141,824,1,0,"[fever, quarantined]"
141,824,2,0,"[ebola, quarantined]"
142,825,1,0,"[ebola, fever, quarantined]"
142,825,2,0,"[ebola, ill, deadly virus]"
142,825,3,0,"[Ebola,  low blood pressure from fluid loss,muscle and joint pain, liver inflammation,decreased hearing., muscle,joint,liver.]"
142,825,4,0,"[ebola, quarantined]"
142,825,5,0,"[ebola, release proteins, blood clotting, hemorrhaging, tissue, every organ, bones, skeletal muscles, virus particles]"
142,825,6,0,"[ebola, blood clotting, hemorrhaging, tissue, collagen, ebola virus]"
142,825,7,0,"[ebola, increase in body temperature, strong headaches, and joint and muscle pain, Diarrhea, vomiting, stomach pain, Bleeding, eyes, nose, and tongue, ebola virus]"
143,825,8,0,"[ebola, Fever, vomiting, a raised rash and weight loss, tissue in the body, sparing bone and skeletal muscle, skin, ebola virus]"
143,825,9,0,"[ebola, AIDS, immune system, T-lymphocyte cells,, virus]"
143,825,10,0,[ebola]
143,825,11,0,"[ebola, creating a vaccine]"
143,826,1,0,"[Malaria, seen to be swollen, stomach, liver,  red blood cells]"
143,827,1,0,"[malaria, clogging blood vessels, blood stream, liver, blood cells, blood vessels, malaria parasite]"
143,828,1,0,[Ebola]
131,835,3,0,"[ebola, flu, bleeding out of the eyes, illness,  bleeding of the gums, or bruising, eyes]"
131,835,4,0,"[ebola, immune system, cells, viral infection]"
131,835,5,0,[ebola]
131,836,1,0,"[malaria, abnormal behavior, impairment of consciousness, seizures, coma, anemia, kidney]"
131,836,2,0,"[malaria, liver, malaria parasite]"
132,836,3,0,"[falciparum malaria, fever, liver, red blood cells, kidneys, spleens, brain]"
132,837,1,0,"[falciparum malaria, liver, red blood cells, Plasmodium]"
132,837,2,0,"[EVD, fever,sore throat,muscle pain,headaches,vomiting,diarrhea, Ebolaviruses]"
132,838,1,0,[Ebola]
132,838,2,0,"[malaria, jaundice, anemia, fever, flu-like illness, shaking chills, headache, muscle aches, tiredness. Nausea, vomiting, diarrhea, kidney]"
133,838,3,0,"[malaria, absent or very mild symptoms to severe disease and even death, malaria parasites]"
133,838,4,0,"[malaria, anemia, falciparum malaria]"
133,838,5,0,"[typhus, severe headache, nonproductive cough, nausea, muscle aches, chest pain, general feeling of illness, face, palms, soles]"
133,838,6,0,"[typhus, rash, delirium or stupor, Lymph nodes,  intestines, liver, heart, kidneys, brain]"
133,839,1,0,"[lympathic tissues, small intestine, liver, spleen,, S. typhi]"
134,840,1,0,"[Typhus, living cells,  unusual bacteria]"
134,840,2,0,"[Typhus,  fever, headache, chills, general aches that are followed by a rash, face, palms, hands, feet]"
134,840,3,0,"[typhoid,  enteric fever, systemic fever, severe headache, nausea, loss of appetite,  constipation or diarrhea, enlargement of the spleen, possible development of meningitis, general malaise, S. typhi]"
134,840,4,0,"[Typhus,  fever, headache, chills, general aches that are followed by a rash, boiling or steaming their clothes, body]"
134,840,5,0,[Ebola]
135,841,1,0,"[cholera, true hemorrhage, debility, faintness, coldness, pulmonary capillaries, arteries, lungs, bowels]"
135,841,2,0,"[cholera,  lungs, effluvia]"
135,841,3,0,"[cholera, illness, dizziness, faintness, feeling of sinking,  lungs, alimentary canal, mucous membrane, stomach, bowels]"
135,841,4,0,"[cholera, alimentary canal,skin, cholera poison]"
135,842,1,0,"[cholera, erythematous inflammation, catarrh, excoriations, ulceration, brain, digestive organs]"
